始发站,终点站,货物,日期,网址
北京,浙江杭州,普货,2018-10-12,http://www.56135.com/huoyuan/I9444948.html
北京,西藏,重货,2018-10-12,http://www.56135.com/huoyuan/I9444842.html
北京,河北廊坊霸州,普货,2018-10-12,http://www.56135.com/huoyuan/I9444386.html
北京,山东烟台龙口,普货,2018-10-12,http://www.56135.com/huoyuan/I9444199.html
北京,山东东营广饶,催柴,2018-10-12,http://www.56135.com/huoyuan/I9444150.html
北京,山西太原,None,2018-10-12,http://www.56135.com/huoyuan/I9444091.html
北京海淀,黑龙江佳木斯,玉米,2018-10-12,http://www.56135.com/huoyuan/I9443787.html
北京大兴,黑龙江佳木斯汤原,水稻,2018-10-12,http://www.56135.com/huoyuan/I9443780.html
北京大兴,黑龙江佳木斯桦川,水稻,2018-10-12,http://www.56135.com/huoyuan/I9443623.html
北京大兴,青海海西格尔木,重货,2018-10-12,http://www.56135.com/huoyuan/I9444844.html
北京,陕西西安,None,2018-10-12,http://www.56135.com/huoyuan/I9443521.html
北京,云南昆明,None,2018-10-12,http://www.56135.com/huoyuan/I9443520.html
北京,安徽合肥,None,2018-10-12,http://www.56135.com/huoyuan/I9443518.html
北京,广东东莞虎门,None,2018-10-12,http://www.56135.com/huoyuan/I9443091.html
北京房山,北京延庆,None,2018-10-12,http://www.56135.com/huoyuan/I9443019.html
北京,天津,普货,2018-10-12,http://www.56135.com/huoyuan/I9442941.html
北京昌平,河北唐山玉田,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9442924.html
北京,辽宁盘锦,燃料油,2018-10-12,http://www.56135.com/huoyuan/I9442847.html
北京,浙江嘉兴,冻品,2018-10-12,http://www.56135.com/huoyuan/I9442789.html
北京,宁夏银川,冻品,2018-10-12,http://www.56135.com/huoyuan/I9442780.html
北京,湖北武汉,冻品,2018-10-12,http://www.56135.com/huoyuan/I9442779.html
北京,陕西汉中,冻品,2018-10-12,http://www.56135.com/huoyuan/I9442778.html
北京,山西太原,冻品,2018-10-12,http://www.56135.com/huoyuan/I9442777.html
北京,山东东营广饶,催柴,2018-10-12,http://www.56135.com/huoyuan/I9442345.html
北京,湖北十堰,普货,2018-10-12,http://www.56135.com/huoyuan/I9442265.html
北京,江苏连云港,煤,2018-10-12,http://www.56135.com/huoyuan/I9441968.html
北京,新疆乌鲁木齐,None,2018-10-12,http://www.56135.com/huoyuan/I9441937.html
北京,甘肃兰州,None,2018-10-12,http://www.56135.com/huoyuan/I9441936.html
北京,四川成都,None,2018-10-12,http://www.56135.com/huoyuan/I9441935.html
北京朝阳,湖南长沙岳麓,饮料,2018-10-13,http://www.56135.com/huoyuan/I9441892.html
北京,西藏拉萨当雄,钻杆,2018-10-12,http://www.56135.com/huoyuan/I9441514.html
北京通州,内蒙古巴彦淖尔乌拉特前旗,None,2018-10-12,http://www.56135.com/huoyuan/I9441381.html
北京房山,甘肃兰州,食品,2018-10-12,http://www.56135.com/huoyuan/I9441378.html
北京平谷,河北唐山玉田,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9440901.html
北京平谷,河北唐山玉田,普货,2018-10-12,http://www.56135.com/huoyuan/I9440878.html
北京,河北唐山古冶,None,2018-10-12,http://www.56135.com/huoyuan/I9440833.html
北京,广西南宁,普货,2018-10-12,http://www.56135.com/huoyuan/I9440831.html
北京,江苏盐城,普货,2018-10-12,http://www.56135.com/huoyuan/I9440800.html
北京,云南昆明,普货,2018-10-12,http://www.56135.com/huoyuan/I9440679.html
北京,江苏宿迁,None,2018-10-12,http://www.56135.com/huoyuan/I9440662.html
北京,广西南宁,None,2018-10-12,http://www.56135.com/huoyuan/I9440625.html
北京通州,山东青岛,快递,2018-10-12,http://www.56135.com/huoyuan/I9440620.html
北京,浙江杭州,None,2018-10-12,http://www.56135.com/huoyuan/I9440616.html
北京,湖南株洲,None,2018-10-12,http://www.56135.com/huoyuan/I9440599.html
北京,江苏徐州,None,2018-10-12,http://www.56135.com/huoyuan/I9440565.html
北京大兴,安徽安庆望江,水稻,2018-10-12,http://www.56135.com/huoyuan/I9440489.html
北京,陕西西安,普货,2018-10-12,http://www.56135.com/huoyuan/I9440388.html
北京通州,湖北武汉东西湖,None,2018-10-12,http://www.56135.com/huoyuan/I9440306.html
北京,广东广州,普货,2018-10-12,http://www.56135.com/huoyuan/I9440160.html
北京顺义,辽宁沈阳,普货,2018-10-12,http://www.56135.com/huoyuan/I9440158.html
北京通州,内蒙古呼和浩特,零担,2018-10-12,http://www.56135.com/huoyuan/I9440128.html
北京,天津,None,2018-10-12,http://www.56135.com/huoyuan/I9440125.html
北京,山东东营广饶,普货,2018-10-12,http://www.56135.com/huoyuan/I9440103.html
北京通州,河北保定阜平,普货,2018-10-12,http://www.56135.com/huoyuan/I9440063.html
北京昌平,江苏连云港东海,重废,2018-10-12,http://www.56135.com/huoyuan/I9440050.html
北京昌平,河北唐山玉田,剪切料,2018-10-12,http://www.56135.com/huoyuan/I9440049.html
北京,湖南长沙,普货,2018-10-12,http://www.56135.com/huoyuan/I9439887.html
北京,云南昆明,普货,2018-10-12,http://www.56135.com/huoyuan/I9439886.html
北京,四川成都,普货,2018-10-12,http://www.56135.com/huoyuan/I9439885.html
北京通州,河北,普货,2018-10-12,http://www.56135.com/huoyuan/I9439833.html
北京,河北张家口张北,普货,2018-10-12,http://www.56135.com/huoyuan/I9439807.html
北京通州,河北张家口崇礼,普货,2018-10-12,http://www.56135.com/huoyuan/I9439614.html
北京通州,河北张家口,泡货,2018-10-12,http://www.56135.com/huoyuan/I9439613.html
北京大兴,河北张家口怀来,普货,2018-10-12,http://www.56135.com/huoyuan/I9439612.html
北京大兴,内蒙古包头,普货,2018-10-12,http://www.56135.com/huoyuan/I9439610.html
北京大兴,黑龙江佳木斯桦川,水稻,2018-10-12,http://www.56135.com/huoyuan/I9439340.html
北京大兴,河北石家庄,水稻,2018-10-12,http://www.56135.com/huoyuan/I9439322.html
北京,四川成都,None,2018-10-12,http://www.56135.com/huoyuan/I9439026.html
